Gname	X1_LI	X2_LI	X21_LI	X23_LI	X25_LI	X26_LI	X27_LI	X31_LI	X31_LI_MY008	X32_LI_MY008	X34_LI	X35_LI	X35_LI_MY008	X36_LI	X36_LI_MY008	X37_LI_MY008	X4_LI	X41_LI	X41_LI_MY008	X42_LI	X42_LI_MY008	X45_LI	X45_LI_MY008	X46_LI	X47_LI	X47_LI_MY008	X5_LI	X51_LI	X52_LI	X53_LI	X54_LI	X55_LI	X6_LI	X61_LI	X61_LI_MY008	X62_LI	X62_LI_MY008	X63_LI	X63_LI_MY008	X64_LI_MY008	X65_LI_MY008	X71_LI	X72_LI	X73_LI	X74_LI	X75_LI
Sox17	143	79	101	272	151	140	267	98	47	58	102	72	25	114	74	41	127	148	3	248	51	136	8	263	131	58	205	41	12	55	20	60	19	175	34	198	34	216	74	28	20	43	52	88	45	83
Rb1cc1	2750	2212	1163	3186	3059	2721	3914	4032	1338	2537	2904	1776	1177	3443	2302	1503	2747	1016	173	2354	2163	1645	995	4471	2374	2276	2893	1283	392	1695	1153	1909	509	3094	1102	2972	1241	2898	1202	1603	1508	1060	1958	1519	898	1238
Adhfe1	444	83	235	206	220	130	246	113	26	38	85	62	41	142	109	152	59	21	2	34	24	14	35	40	15	77	111	70	15	35	60	57	3	144	35	37	101	287	26	28	29	92	22	55	45	30
Pi15	169	244	65	445	193	114	361	198	48	81	135	72	23	90	107	47	256	141	6	291	42	123	6	558	446	38	376	36	5	47	37	104	7	245	25	370	50	328	61	27	13	114	98	100	91	63
Mcm3	366	500	522	1704	659	1047	992	853	570	659	546	358	500	903	468	467	504	597	19	1773	665	526	195	1161	1516	394	929	505	106	462	328	489	59	593	559	1036	222	587	492	411	541	454	423	517	370	366
Tram2	369	351	321	909	376	461	692	485	255	276	284	190	180	397	370	291	411	340	9	402	171	266	95	447	419	419	526	200	35	165	111	206	115	495	160	463	277	476	187	165	153	439	262	283	333	233
Gsta3	334	355	602	1306	458	487	514	274	336	265	491	487	367	237	334	221	561	773	20	931	566	694	66	658	810	160	694	194	25	224	124	220	291	336	161	862	106	331	262	67	98	272	313	484	246	316
Lmbrd1	3652	2935	1800	4286	3975	3922	4984	5203	1371	2218	3605	2642	1609	4688	2017	1659	3029	1258	180	2327	2016	2104	963	3854	2985	2225	3321	1793	325	1788	1187	1751	686	3755	1218	3484	1412	3883	979	1164	1311	1327	1866	1790	1166	1329
Phf3	2244	1793	790	3099	2444	2635	3621	3351	1771	3034	2315	1373	1391	3210	2308	1947	2295	1072	178	2653	2501	1154	1169	3546	2037	2494	3163	1774	460	2077	1294	2163	203	3040	1218	3102	1635	2613	1518	1767	1722	1076	2423	2011	1060	1627
Prim2	186	260	129	668	225	347	428	375	284	287	374	224	220	349	212	195	279	207	19	540	301	186	79	551	473	226	370	243	64	273	144	231	43	236	175	292	134	188	234	189	194	207	289	286	159	224
