SAMPLEID	Sex	Isolator	ExperimentalGroups	Mouse	Tissue type	Group	Condition	Immunization	SAC	EXP	Group1	Epithelial_cell
1_LI	F	ISO2	Group2	1	LI	1	7 days HMO	No	28	MY006	7 days HMO Day 28	0.96735
1_SI	F	ISO2	Group2	1	SI	1	7 days HMO	No	28	MY006	7 days HMO Day 28	0.9109
2_LI	F	ISO2	Group2	2	LI	1	7 days HMO	No	28	MY006	7 days HMO Day 28	0.89345
2_SI	F	ISO2	Group2	2	SI	1	7 days HMO	No	28	MY006	7 days HMO Day 28	0.72014
21_LI	F	ISO2	Group3	21	LI	2	14 days HMO	No	35	MY006	14 days HMO Day 35	0.92026
21_SI	F	ISO2	Group3	21	SI	2	14 days HMO	No	35	MY006	14 days HMO Day 35	0.95104
22_SI	F	ISO2	Group3	22	SI	2	14 days HMO	No	35	MY006	14 days HMO Day 35	0.92981
23_LI	F	ISO2	Group3	23	LI	2	14 days HMO	No	35	MY006	14 days HMO Day 35	0.87446
23_SI	F	ISO2	Group3	23	SI	2	14 days HMO	No	35	MY006	14 days HMO Day 35	0.87439
25_LI	M	ISO2	Group3	25	LI	2	14 days HMO	No	35	MY006	14 days HMO Day 35	0.9728
25_SI	M	ISO2	Group3	25	SI	2	14 days HMO	No	35	MY006	14 days HMO Day 35	0.9463
26_LI	M	ISO1	Group3	26	LI	2	14 days HMO	No	35	MY006	14 days HMO Day 35	0.95432
27_LI	M	ISO1	Group3	27	LI	2	14 days HMO	No	35	MY006	14 days HMO Day 35	0.9096
27_SI	M	ISO1	Group3	27	SI	2	14 days HMO	No	35	MY006	14 days HMO Day 35	0.92836
31_LI	F	ISO2	Group7	31	LI	3	14 days HMO	No	50	MY006	14 days HMO Day 50	0.94765
31_LI_MY008	F	ISO3	Group6	31	LI	3	7 days HMO	Yes	50	MY008	7 days HMO Day 50	0.96335
31_SI	F	ISO2	Group7	31	SI	3	14 days HMO	No	50	MY006	14 days HMO Day 50	0.92967
31_SI_MY008	F	ISO3	Group6	31	SI	3	7 days HMO	Yes	50	MY008	7 days HMO Day 50	0.90826
32_LI_MY008	F	ISO3	Group6	32	LI	3	7 days HMO	Yes	50	MY008	7 days HMO Day 50	0.95874
